instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,88.0
ins-40,False,92,300000
ins-1,True,8,0.0
ins-10,True,17,5.0
ins-11,True,18,108.0
ins-12,True,19,23.0
ins-13,True,20,12.0
ins-14,True,21,34.0
ins-15,True,22,14.0
ins-16,True,23,80.0
ins-17,True,24,108.0
ins-18,True,25,503.0
ins-19,True,26,1100.0
ins-2,True,9,1.0
ins-20,True,27,107.0
ins-21,True,28,500.0
ins-22,True,29,18368.0
ins-23,True,30,222.0
ins-25,True,32,19067.0
ins-26,True,33,252.0
ins-27,True,34,108.0
ins-28,True,35,1638.0
ins-29,True,36,453.0
ins-3,True,10,1.0
ins-30,True,37,40679.0
ins-31,True,38,137.0
ins-32,True,39,32503.0
ins-33,True,40,297.0
ins-34,True,40,916.0
ins-35,True,40,185.0
ins-36,True,40,471.0
ins-37,True,60,6569.0
ins-38,False,61,300000
ins-39,True,60,16541.0
ins-4,True,11,1.0
ins-5,True,12,1.0
ins-6,True,13,3.0
ins-7,True,14,4.0
ins-8,True,15,3.0
ins-9,True,16,2.0
